id,SMILES,canon_SMILES,specific_rotation,specific_rotation_computed,weights,weights_signed,specific_rotation_computed_abs,triple_product,if_computed_rotation_positive,if_triple_positive
3588203,C[C@H](CO[Si](C)(C)C(C)(C)C)C=O,C[C@@H](C=O)CO[Si](C)(C)C(C)(C)C,-33.5,-197.01,202.37,-202.37,197.01,40.1240023429147,-1.0,1.0
3588594,C1CN[C@H](C1)C1=CC=CC=C1,c1ccc([C@H]2CCCN2)cc1,64.3,89.23,147.221,147.221,89.23,-17.0598378674656,1.0,1.0
3588749,CCCCC[C@H](O)C1=CC=CO1,CCCCC[C@H](O)c1ccco1,-10.7,115.91,168.236,168.236,115.91,27.0108419780986,1.0,1.0
3588754,CC[C@H](O)C1=CC=CC=C1OC,CC[C@H](O)c1ccccc1OC,-14.4,-58.31,166.22,-166.22,58.31,-31.1790953521183,-1.0,1.0
3589112,CCC(=O)C[C@@H](C)C1=CC=CC=C1,CCC(=O)C[C@@H](C)c1ccccc1,-40,-173.53,176.259,-176.259,173.53,31.3283366502611,-1.0,1.0
3589405,O[C@H](C1CCCCC1)C1=CC=CO1,O[C@@H](c1ccco1)C1CCCCC1,15.5,166.12,180.247,180.247,166.12,7.80134260235463,1.0,1.0
3591067,COC1=CC2=C(C=C1)C=C(C=C2)[C@H](C)C(O)=O,COc1ccc2cc([C@H](C)C(=O)O)ccc2c1,61.1,-16.69,230.263,-230.263,16.69,50.8866294274161,-1.0,1.0
3591296,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)C=O,CC(C)(C)OC(=O)N[C@H](C=O)Cc1ccccc1,41.6,52.53,249.31,249.31,52.53,-33.5517914943938,1.0,1.0
3591420,CC(C)(C)OC(=O)N1CCC[C@H]1\C=C/CO,CC(C)(C)OC(=O)N1CCC[C@H]1/C=C\CO,43.7,69.01,227.304,227.304,69.01,-38.9081551243967,1.0,1.0
3592912,CC(=O)OC[C@H]1O[C@H](CC=C)C=C[C@@H]1OC(C)=O,C=CC[C@@H]1C=C[C@H](OC(C)=O)[C@@H](COC(C)=O)O1,78.9,184.88,254.282,254.282,184.88,-74.1078938087752,1.0,1.0
3601189,OC[C@@H]1O[C@H]1C1CCCCC1,OC[C@@H]1O[C@H]1C1CCCCC1,-25.6,-105.29,156.225,-156.225,105.29,-16.6073682891961,-1.0,1.0
3601898,CO[C@@H](CC=C)C[C@H](O)CO,C=CC[C@@H](C[C@H](O)CO)OC,65,195.06,160.213,160.213,195.06,22.5985071741247,1.0,1.0
3603779,[H][C@@](Cl)(CO)CC1=CC=CC=C1,OC[C@@H](Cl)Cc1ccccc1,-18.2,-44.18,170.639,-170.639,44.18,-23.3774051682814,-1.0,1.0
3606512,C[C@@H](CC(=O)C=C(C)C)C1=CC=C(C)C=C1,CC(C)=CC(=O)C[C@H](C)c1ccc(C)cc1,60.3,325.41,216.324,216.324,325.41,-38.417514183298,1.0,1.0
3614875,O=C[C@@H]1CCCN1C(=O)OCC1=CC=CC=C1,O=C[C@@H]1CCCN1C(=O)OCc1ccccc1,-24,-219.3,233.267,-233.267,219.3,28.5983811945743,-1.0,1.0
3647990,BrC[C@@H]1CCCO1,BrC[C@@H]1CCCO1,-9.4,-169.37,165.03,-165.03,169.37,-12.9495135094933,-1.0,1.0
